Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
8564.27,0.2,0.0,0.0,0.0,0.0,0.4
8564.369,0.2,0.0,0.0,0.0,0.0,0.4
8564.47,0.2,0.0,0.0,0.0,0.0,0.4
8564.569,0.2,0.0,0.0,0.0,0.0,0.4
8564.672,0.2,0.0,0.0,0.0,0.0,0.4
8564.768,0.2,0.0,0.0,0.0,0.0,0.4
8564.872,0.2,0.0,0.0,0.0,0.0,0.4
8564.974,0.2,0.0,0.0,0.0,0.0,0.4
8565.072,0.2,0.0,0.0,0.0,0.0,0.4
8565.168,0.2,0.0,0.0,0.0,0.0,0.4
8565.271,0.2,0.0,0.0,0.0,0.0,0.4
8565.37,0.2,0.0,0.0,0.0,0.0,0.4
8565.492,0.2,0.0,0.0,0.0,0.0,0.4
8565.569,0.2,0.0,0.0,0.0,0.0,0.4
8565.668,0.2,0.0,0.0,0.0,0.0,0.4
8565.767,0.2,0.0,0.0,0.0,0.0,0.4
8565.867,0.2,0.0,0.0,0.0,0.0,0.4
8565.967,0.2,0.0,0.0,0.0,0.0,0.4
8566.07,0.2,0.0,0.0,0.0,0.0,0.4
8566.168,0.2,0.0,0.0,0.0,0.0,0.4
8566.267,0.2,0.0,0.0,0.0,0.0,0.4
8566.368,0.2,0.0,0.0,0.0,0.0,0.4
8566.47,0.2,0.0,0.0,0.0,0.0,0.4
8566.567,0.2,0.0,0.0,0.0,0.0,0.4
8566.668,0.2,0.0,0.0,0.0,0.0,0.4
8566.775,0.2,0.0,0.0,0.0,0.0,0.4
8566.868,0.2,0.0,0.0,0.0,0.0,0.4
8566.972,0.2,0.0,0.0,0.0,0.0,0.4
8567.069,0.2,0.0,0.0,0.0,0.0,0.4
8567.171,0.2,0.0,0.0,0.0,0.0,0.4
8567.27,0.2,0.0,0.0,0.0,0.0,0.4
8567.369,0.2,0.0,0.0,0.0,0.0,0.4
8567.466,0.2,0.0,0.0,0.0,0.0,0.4
8567.564,0.2,0.0,0.0,0.0,0.0,0.4
8567.667,0.2,0.0,0.0,0.0,0.0,0.4
8567.771,0.2,0.0,0.0,0.0,0.0,0.4
8567.868,0.2,0.0,0.0,0.0,0.0,0.4
8567.963,0.2,0.0,0.0,0.0,0.0,0.4
8568.067,0.2,0.0,0.0,0.0,0.0,0.4
8568.167,0.2,0.0,0.0,0.0,0.0,0.4
8568.265,0.2,0.0,0.0,0.0,0.0,0.4
8568.376,0.2,0.0,0.0,0.0,0.0,0.4
8568.467,0.2,0.0,0.0,0.0,0.0,0.4
8568.567,0.2,0.0,0.0,0.0,0.0,0.4
8568.667,0.2,0.0,0.0,0.0,0.0,0.4
8568.768,0.2,0.0,0.0,0.0,0.0,0.4
8568.859,0.2,0.0,0.0,0.0,0.0,0.4
8568.969,0.2,0.0,0.0,0.0,0.0,0.4
8569.066,0.2,0.0,0.0,0.0,0.0,0.4
8569.168,0.2,0.0,0.0,0.0,0.0,0.4
8569.268,0.2,0.0,0.0,0.0,0.0,0.4
8569.367,0.2,0.0,0.0,0.0,0.0,0.4
8569.467,0.2,0.0,0.0,0.0,0.0,0.4
8569.568,0.2,0.0,0.0,0.0,0.0,0.4
8569.663,0.2,0.0,0.0,0.0,0.0,0.4
8569.771,0.2,0.0,0.0,0.0,0.0,0.4
8569.867,0.2,0.0,0.0,0.0,0.0,0.4
