Time,linear.x,linear.y,linear.z,angular.x,angular.y,angular.z
9352.318,0.0,0.0,0.0,0.0,0.0,0.3
9352.318,0.0,0.0,0.0,0.0,0.0,0.3
9352.423,0.0,0.0,0.0,0.0,0.0,0.3
9352.518,0.0,0.0,0.0,0.0,0.0,0.3
9352.618,0.0,0.0,0.0,0.0,0.0,0.3
9352.718,0.0,0.0,0.0,0.0,0.0,0.3
9352.819,0.0,0.0,0.0,0.0,0.0,0.3
9352.925,0.0,0.0,0.0,0.0,0.0,0.3
9353.026,0.0,0.0,0.0,0.0,0.0,0.3
9353.119,0.0,0.0,0.0,0.0,0.0,0.3
9353.218,0.0,0.0,0.0,0.0,0.0,0.3
9353.318,0.0,0.0,0.0,0.0,0.0,0.3
9353.418,0.0,0.0,0.0,0.0,0.0,0.3
9353.518,0.0,0.0,0.0,0.0,0.0,0.3
9353.618,0.0,0.0,0.0,0.0,0.0,0.3
9353.719,0.0,0.0,0.0,0.0,0.0,0.3
9353.818,0.0,0.0,0.0,0.0,0.0,0.3
9353.918,0.0,0.0,0.0,0.0,0.0,0.3
9354.019,0.0,0.0,0.0,0.0,0.0,0.3
9354.122,0.0,0.0,0.0,0.0,0.0,0.3
9354.231,0.0,0.0,0.0,0.0,0.0,0.3
9354.318,0.0,0.0,0.0,0.0,0.0,0.3
9354.421,0.0,0.0,0.0,0.0,0.0,0.3
9354.524,0.0,0.0,0.0,0.0,0.0,0.3
9354.622,0.0,0.0,0.0,0.0,0.0,0.3
9354.72,0.0,0.0,0.0,0.0,0.0,0.3
9354.814,0.0,0.0,0.0,0.0,0.0,0.3
9354.918,0.0,0.0,0.0,0.0,0.0,0.3
9355.018,0.0,0.0,0.0,0.0,0.0,0.3
9355.118,0.0,0.0,0.0,0.0,0.0,0.3
9355.215,0.0,0.0,0.0,0.0,0.0,0.3
9355.318,0.0,0.0,0.0,0.0,0.0,0.3
9355.423,0.0,0.0,0.0,0.0,0.0,0.3
9355.518,0.0,0.0,0.0,0.0,0.0,0.3
9355.618,0.0,0.0,0.0,0.0,0.0,0.3
9355.72,0.0,0.0,0.0,0.0,0.0,0.3
9355.82,0.0,0.0,0.0,0.0,0.0,0.3
9355.918,0.0,0.0,0.0,0.0,0.0,0.3
9356.018,0.0,0.0,0.0,0.0,0.0,0.3
9356.118,0.0,0.0,0.0,0.0,0.0,0.3
9356.219,0.0,0.0,0.0,0.0,0.0,0.3
9356.323,0.0,0.0,0.0,0.0,0.0,0.3
9356.422,0.0,0.0,0.0,0.0,0.0,0.3
9356.519,0.0,0.0,0.0,0.0,0.0,0.3
9356.618,0.0,0.0,0.0,0.0,0.0,0.3
9356.72,0.0,0.0,0.0,0.0,0.0,0.3
9356.828,0.0,0.0,0.0,0.0,0.0,0.3
9356.919,0.0,0.0,0.0,0.0,0.0,0.3
9357.022,0.0,0.0,0.0,0.0,0.0,0.3
9357.121,0.0,0.0,0.0,0.0,0.0,0.3
9357.22,0.0,0.0,0.0,0.0,0.0,0.3
9357.318,0.0,0.0,0.0,0.0,0.0,0.3
9357.418,0.0,0.0,0.0,0.0,0.0,0.3
9357.525,0.0,0.0,0.0,0.0,0.0,0.3
9357.619,0.0,0.0,0.0,0.0,0.0,0.3
9357.72,0.0,0.0,0.0,0.0,0.0,0.3
9357.833,0.0,0.0,0.0,0.0,0.0,0.3
9357.921,0.0,0.0,0.0,0.0,0.0,0.3
9358.017,0.0,0.0,0.0,0.0,0.0,0.3
9358.107,0.0,0.0,0.0,0.0,0.0,0.3
9358.224,0.0,0.0,0.0,0.0,0.0,0.3
9358.318,0.0,0.0,0.0,0.0,0.0,0.3
9358.419,0.0,0.0,0.0,0.0,0.0,0.3
9358.524,0.0,0.0,0.0,0.0,0.0,0.3
9358.621,0.0,0.0,0.0,0.0,0.0,0.3
9358.729,0.0,0.0,0.0,0.0,0.0,0.3
9358.818,0.0,0.0,0.0,0.0,0.0,0.3
9358.921,0.0,0.0,0.0,0.0,0.0,0.3
9359.02,0.0,0.0,0.0,0.0,0.0,0.3
9359.124,0.0,0.0,0.0,0.0,0.0,0.3
9359.221,0.0,0.0,0.0,0.0,0.0,0.3
9359.318,0.0,0.0,0.0,0.0,0.0,0.3
9359.421,0.0,0.0,0.0,0.0,0.0,0.3
9359.521,0.0,0.0,0.0,0.0,0.0,0.3
9359.619,0.0,0.0,0.0,0.0,0.0,0.3
9359.72,0.0,0.0,0.0,0.0,0.0,0.3
9359.818,0.0,0.0,0.0,0.0,0.0,0.3
9359.919,0.0,0.0,0.0,0.0,0.0,0.3
9360.018,0.0,0.0,0.0,0.0,0.0,0.3
9360.121,0.0,0.0,0.0,0.0,0.0,0.3
9360.22,0.0,0.0,0.0,0.0,0.0,0.3
9360.322,0.0,0.0,0.0,0.0,0.0,0.3
9360.421,0.0,0.0,0.0,0.0,0.0,0.3
9360.518,0.0,0.0,0.0,0.0,0.0,0.3
